"subj","obj_id","n","rank","obj"
"030FD","e",105,1,"bottle"
"030FD","o",32,2,"bottle"
"030FD","p",27,3,"bottle"
"030FD","i",12,4,"bottle"
"030FD","h",11,5,"bottle"
"030FD","j",11,6,"bottle"
"030FD","l",11,7,"bottle"
"030FD","n",8,8,"bottle"
"030FD","k",5,9,"bottle"
"030FD","c",2,10,"bottle"
"030FD","f",2,11,"bottle"
"030FD","a",1,12,"bottle"
"030FD","b",1,13,"bottle"
"030FD","d",1,14,"bottle"
"030FD","g",1,15,"bottle"
"030FD","m",1,16,"bottle"
"031HW","a",45,1,"bottle"
"031HW","d",6,2,"bottle"
"031HW","b",4,3,"bottle"
"031HW","f",3,4,"bottle"
"031HW","g",3,5,"bottle"
"031HW","e",2,6,"bottle"
"031HW","c",1,7,"bottle"
"031HW","h",1,8,"bottle"
"031HW","i",1,9,"bottle"
"032SR","c",168,1,"bottle"
"032SR","f",8,2,"bottle"
"032SR","a",6,3,"bottle"
"032SR","d",6,4,"bottle"
"032SR","b",1,5,"bottle"
"032SR","e",1,6,"bottle"
"033SE","d",4,1,"bottle"
"033SE","e",2,2,"bottle"
"033SE","f",2,3,"bottle"
"033SE","a",1,4,"bottle"
"033SE","b",1,5,"bottle"
"033SE","c",1,6,"bottle"
"033SE","g",1,7,"bottle"
"033SE","h",1,8,"bottle"
"033SE","i",1,9,"bottle"
"033SE","j",1,10,"bottle"
"033SE","k",1,11,"bottle"
"033SE","l",1,12,"bottle"
"036MR","a",9,1,"bottle"
"036MR","c",2,2,"bottle"
"036MR","b",1,3,"bottle"
"036MR","d",1,4,"bottle"
"037SM","i",32,1,"bottle"
"037SM","j",30,2,"bottle"
"037SM","g",21,3,"bottle"
"037SM","k",18,4,"bottle"
"037SM","a",8,5,"bottle"
"037SM","c",4,6,"bottle"
"037SM","l",4,7,"bottle"
"037SM","d",3,8,"bottle"
"037SM","n",2,9,"bottle"
"037SM","o",2,10,"bottle"
"037SM","e",1,11,"bottle"
"037SM","h",1,12,"bottle"
"037SM","m",1,13,"bottle"
"038RB","f",42,1,"bottle"
"038RB","i",29,2,"bottle"
"038RB","g",15,3,"bottle"
"038RB","h",2,4,"bottle"
"038RB","a",1,5,"bottle"
"038RB","b",1,6,"bottle"
"038RB","c",1,7,"bottle"
"038RB","d",1,8,"bottle"
"038RB","e",1,9,"bottle"
"039ED","c",71,1,"bottle"
"039ED","a",5,2,"bottle"
"039ED","b",4,3,"bottle"
"041EC","a",5,1,"bottle"
"041EC","b",5,2,"bottle"
"042MB","g",91,1,"bottle"
"042MB","h",24,2,"bottle"
"042MB","l",9,3,"bottle"
"042MB","j",8,4,"bottle"
"042MB","i",7,5,"bottle"
"042MB","a",2,6,"bottle"
"042MB","d",2,7,"bottle"
"042MB","e",2,8,"bottle"
"042MB","f",2,9,"bottle"
"042MB","b",1,10,"bottle"
"042MB","c",1,11,"bottle"
"042MB","k",1,12,"bottle"
"045NA","d",10,1,"bottle"
"045NA","g",9,2,"bottle"
"045NA","h",7,3,"bottle"
"045NA","e",4,4,"bottle"
"045NA","c",3,5,"bottle"
"045NA","f",2,6,"bottle"
"045NA","k",2,7,"bottle"
"045NA","a",1,8,"bottle"
"045NA","b",1,9,"bottle"
"045NA","i",1,10,"bottle"
