avg_degree,proportion_connected_nodes,overall_avg_connectivity,subj,category
14.805369127516778,0.610738255033557,13.322185345928006,030FD,bottle
5.2075471698113205,0.660377358490566,4.743486973947896,031HW,bottle
13.605839416058394,0.7737226277372263,9.754900058218514,032SR,bottle
,,,033SE,bottle
1.0909090909090908,0.6363636363636364,1.0,036MR,bottle
8.121951219512194,0.6829268292682927,6.764307228915663,037SM,bottle
4.318181818181818,0.7954545454545454,2.395085066162571,038RB,bottle
6.705882352941177,0.7058823529411765,4.5212765957446805,039ED,bottle
,,,041EC,bottle
10.0,0.7821782178217822,6.4958016793282685,042MB,bottle
,,,043MP,bottle
1.4666666666666666,0.4666666666666667,3.727272727272727,045NA,bottle
4.232558139534884,0.7441860465116279,2.9853300733496333,046TE,bottle
,,,047MS,bottle
58.4,0.7213675213675214,45.4581500204946,030FD,bowl
6.914285714285715,0.6428571428571429,8.772727272727273,031HW,bowl
1.9,0.7,1.4776119402985075,032SR,bowl
4.0,0.7073170731707317,2.9318181818181817,033SE,bowl
,,,036MR,bowl
31.80564263322884,0.7774294670846394,21.17052157437529,037SM,bowl
15.9,0.925,9.94738721580764,038RB,bowl
8.121951219512194,0.7195121951219512,6.001344989912576,039ED,bowl
,,,041EC,bowl
1.2307692307692308,0.4615384615384615,1.6666666666666667,042MB,bowl
5.2075471698113205,0.6981132075471698,5.484679665738161,043MP,bowl
8.808988764044944,0.8314606741573034,6.616118769883351,045NA,bowl
15.5,0.75,9.916298261125847,046TE,bowl
,,,047MS,bowl
25.603112840466927,0.7120622568093385,19.60310818888225,030FD,cup
3.3529411764705883,0.6764705882352942,3.6728971962616814,031HW,cup
4.708333333333333,0.7291666666666666,3.5610278372591004,032SR,cup
3.6216216216216215,0.4864864864864865,4.601307189542483,033SE,cup
1.4666666666666666,0.7333333333333333,1.5217391304347827,036MR,cup
10.50943396226415,0.6981132075471698,8.557446808510639,037SM,cup
4.142857142857143,0.5952380952380952,4.216535433070866,038RB,cup
,,,039ED,cup
1.0909090909090908,0.5454545454545454,1.2,041EC,cup
5.418181818181818,0.6727272727272727,3.867867867867868,042MB,cup
5.115384615384615,0.7115384615384616,3.844,043MP,cup
13.710144927536232,0.8623188405797102,9.083587847612923,045NA,cup
10.703703703703704,0.6944444444444444,8.756724207145725,046TE,cup
3.3529411764705883,0.7058823529411765,2.984375,047MS,cup
19.604060913705585,0.8071065989847716,11.912457066264556,030FD,door
5.333333333333333,0.7407407407407407,3.414772727272727,031HW,door
5.333333333333333,0.7962962962962963,4.009389671361502,032SR,door
4.142857142857143,0.6428571428571429,3.564784053156146,033SE,door
2.827586206896552,0.7241379310344828,2.1511627906976742,036MR,door
5.333333333333333,0.6666666666666666,4.658362989323844,037SM,door
2.4,0.72,2.378787878787879,038RB,door
4.92,0.64,5.373853211009174,039ED,door
,,,041EC,door
2.7142857142857144,0.75,2.6041666666666665,042MB,door
2.7142857142857144,0.7142857142857143,2.24025974025974,043MP,door
2.827586206896552,0.6206896551724138,2.3986928104575163,045NA,door
,,,046TE,door
3.5,0.7222222222222222,2.9626168224299065,047MS,door
42.60421545667448,0.7892271662763466,28.84512899347642,030FD,window
1.2307692307692308,0.6923076923076923,1.7,031HW,window
19.9,0.785,13.39485600434704,032SR,window
10.307692307692308,0.7403846153846154,7.228515625,033SE,window
1.6470588235294117,0.5882352941176471,2.2413793103448274,036MR,window
13.313432835820896,0.7611940298507462,9.7413870246085,037SM,window
2.933333333333333,0.6666666666666666,2.981651376146789,038RB,window
10.50943396226415,0.6698113207547169,8.997585513078471,039ED,window
1.5,0.5625,1.6666666666666667,041EC,window
2.933333333333333,0.7,2.4788732394366195,042MB,window
2.827586206896552,0.5517241379310345,2.9916666666666667,043MP,window
2.333333333333333,0.5833333333333334,2.505494505494505,045NA,window
21.80821917808219,0.7579908675799086,13.835864442283237,046TE,window
24.0,0.8755186721991701,12.891218934911242,047MS,window
