avg_degree,proportion_connected_nodes,overall_avg_connectivity,subj,category
,,,030FD,bottle
3.333333333333333,1.0,2.146198830409357,031HW,bottle
,,,032SR,bottle
,,,033SE,bottle
,,,036MR,bottle
2.976744186046512,1.0,1.4777927321668909,037SM,bottle
1.6923076923076923,1.0,1.0,038RB,bottle
,,,039ED,bottle
,,,041EC,bottle
7.288888888888889,1.0,4.168686868686868,042MB,bottle
,,,043MP,bottle
,,,045NA,bottle
,,,046TE,bottle
,,,047MS,bottle
14.448637316561843,1.0,5.744651826690276,030FD,bowl
,,,031HW,bowl
,,,032SR,bowl
2.823529411764706,1.0,1.7641509433962264,033SE,bowl
,,,036MR,bowl
19.734177215189877,1.0,12.539747179095611,037SM,bowl
3.56,1.0,1.8529672276350757,038RB,bowl
2.5625,1.0,1.8689655172413795,039ED,bowl
,,,041EC,bowl
,,,042MB,bowl
2.8666666666666667,1.0,1.5351681957186545,043MP,bowl
4.701754385964913,1.0,2.5917293233082708,045NA,bowl
2.0,1.0,1.0769230769230769,046TE,bowl
,,,047MS,bowl
19.801652892561982,1.0,10.93595041322314,030FD,cup
,,,031HW,cup
2.142857142857143,1.0,1.4883720930232558,032SR,cup
,,,033SE,cup
,,,036MR,cup
5.8604651162790695,1.0,3.459196102314251,037SM,cup
,,,038RB,cup
,,,039ED,cup
,,,041EC,cup
5.913043478260869,1.0,3.932806324110672,042MB,cup
,,,043MP,cup
5.440860215053763,1.0,2.369140625,045NA,cup
9.414634146341465,1.0,6.868271954674221,046TE,cup
2.1818181818181817,1.0,1.3888888888888888,047MS,cup
9.6,1.0,4.272129032258064,030FD,door
,,,031HW,door
2.5128205128205128,1.0,1.9937888198757765,032SR,door
,,,033SE,door
,,,036MR,door
3.2432432432432434,1.0,1.8280632411067197,037SM,door
,,,038RB,door
4.454545454545454,1.0,2.913419913419913,039ED,door
,,,041EC,door
2.1818181818181817,1.0,1.6216216216216215,042MB,door
,,,043MP,door
,,,045NA,door
,,,046TE,door
2.16,1.0,1.317829457364341,047MS,door
16.445283018867926,1.0,7.936330700243511,030FD,window
,,,031HW,window
11.605839416058394,1.0,6.331501009647745,032SR,window
7.3125,1.0,4.425099206349207,033SE,window
,,,036MR,window
2.2142857142857144,1.0,1.1300813008130082,037SM,window
,,,038RB,window
6.813559322033898,1.0,4.234559333795976,039ED,window
,,,041EC,window
,,,042MB,window
,,,043MP,window
,,,045NA,window
12.555555555555555,1.0,7.839729119638826,046TE,window
13.976470588235294,1.0,8.025732411433461,047MS,window
10.722513089005236,1.0,4.187029630585301,030FD,chair
8.424242424242424,1.0,5.661261261261261,031HW,chair
,,,032SR,chair
6.783783783783784,1.0,3.5463433711380525,033SE,chair
3.12,1.0,1.9481132075471697,036MR,chair
7.8861788617886175,1.0,4.355407523510972,037SM,chair
11.09433962264151,1.0,4.389045839788572,038RB,chair
,,,039ED,chair
,,,041EC,chair
5.0588235294117645,1.0,2.554253693326541,042MB,chair
7.361111111111111,1.0,4.052425665101722,043MP,chair
6.773333333333333,1.0,3.349189189189189,045NA,chair
,,,046TE,chair
1.7272727272727273,1.0,1.0,047MS,chair
12.25844930417495,1.0,4.905565624226553,030FD,table
,,,031HW,table
4.017241379310345,1.0,1.4940029985007497,032SR,table
2.076923076923077,1.0,1.0613718411552346,033SE,table
,,,036MR,table
26.56031128404669,1.0,12.49854875563515,037SM,table
7.0,1.0,3.3529411764705883,038RB,table
4.967741935483871,1.0,2.334331337325349,039ED,table
,,,041EC,table
17.985294117647058,1.0,9.970195517405818,042MB,table
,,,043MP,table
6.368421052631579,1.0,3.292378752886836,045NA,table
,,,046TE,table
,,,047MS,table
4.5,1.0,3.1743119266055047,030FD,spoon
,,,031HW,spoon
,,,032SR,spoon
3.1666666666666665,1.0,2.227272727272727,033SE,spoon
,,,036MR,spoon
4.8,1.0,2.512788521522145,037SM,spoon
,,,038RB,spoon
3.933333333333333,1.0,2.0298850574712644,039ED,spoon
,,,041EC,spoon
,,,042MB,spoon
,,,043MP,spoon
,,,045NA,spoon
,,,046TE,spoon
,,,047MS,spoon
