train_acc,test_acc,dataset,seed
22.933333333333334,16.666666666666668,lumpy,10
37.2,21.266666666666666,lumpy,10
40.666666666666664,28.533333333333335,lumpy,10
42.733333333333334,35.93333333333333,lumpy,10
46.8,38.13333333333333,lumpy,10
50.266666666666666,39.666666666666664,lumpy,10
53.333333333333336,41.266666666666666,lumpy,10
56.2,43.8,lumpy,10
56.266666666666666,45.06666666666667,lumpy,10
58.6,47.53333333333333,lumpy,10
60.6,46.86666666666667,lumpy,10
63.266666666666666,47.93333333333333,lumpy,10
63.266666666666666,49.6,lumpy,10
66.13333333333334,50.13333333333333,lumpy,10
66.93333333333334,51.46666666666667,lumpy,10
67.53333333333333,49.8,lumpy,10
68.26666666666667,52.86666666666667,lumpy,10
69.33333333333333,55.333333333333336,lumpy,10
70.93333333333334,52.06666666666667,lumpy,10
71.93333333333334,56.733333333333334,lumpy,10
75.2,55.266666666666666,lumpy,10
72.06666666666666,54.2,lumpy,10
73.66666666666667,55.333333333333336,lumpy,10
76.8,58.333333333333336,lumpy,10
76.73333333333333,55.53333333333333,lumpy,10
77.33333333333333,58.266666666666666,lumpy,10
78.46666666666667,59.13333333333333,lumpy,10
80.53333333333333,60.666666666666664,lumpy,10
78.73333333333333,59.8,lumpy,10
79.46666666666667,60.2,lumpy,10
81.0,59.4,lumpy,10
80.93333333333334,61.13333333333333,lumpy,10
81.8,61.06666666666667,lumpy,10
82.33333333333333,63.46666666666667,lumpy,10
83.06666666666666,60.6,lumpy,10
84.26666666666667,59.733333333333334,lumpy,10
83.73333333333333,62.93333333333333,lumpy,10
83.66666666666667,62.666666666666664,lumpy,10
84.66666666666667,63.266666666666666,lumpy,10
82.6,64.06666666666666,lumpy,10
86.13333333333334,64.26666666666667,lumpy,10
85.33333333333333,63.4,lumpy,10
86.86666666666666,63.666666666666664,lumpy,10
88.06666666666666,63.46666666666667,lumpy,10
86.73333333333333,64.2,lumpy,10
87.6,63.93333333333333,lumpy,10
88.53333333333333,66.26666666666667,lumpy,10
89.13333333333334,64.06666666666666,lumpy,10
87.93333333333334,65.13333333333334,lumpy,10
89.0,65.13333333333334,lumpy,10
89.13333333333334,64.06666666666666,lumpy,10
90.86666666666666,66.6,lumpy,10
91.33333333333333,68.26666666666667,lumpy,10
91.06666666666666,67.06666666666666,lumpy,10
91.66666666666667,65.73333333333333,lumpy,10
91.33333333333333,66.2,lumpy,10
92.26666666666667,65.06666666666666,lumpy,10
90.8,67.13333333333334,lumpy,10
91.4,65.86666666666666,lumpy,10
91.2,65.86666666666666,lumpy,10
90.46666666666667,66.6,lumpy,10
92.6,65.6,lumpy,10
91.6,68.2,lumpy,10
92.2,65.2,lumpy,10
91.86666666666666,65.06666666666666,lumpy,10
91.66666666666667,66.46666666666667,lumpy,10
91.73333333333333,67.26666666666667,lumpy,10
93.93333333333334,67.66666666666667,lumpy,10
93.53333333333333,68.0,lumpy,10
94.6,66.93333333333334,lumpy,10
94.33333333333333,66.93333333333334,lumpy,10
94.86666666666666,66.86666666666666,lumpy,10
93.8,68.06666666666666,lumpy,10
95.2,67.4,lumpy,10
95.6,68.53333333333333,lumpy,10
96.2,68.6,lumpy,10
95.66666666666667,70.0,lumpy,10
95.33333333333333,69.73333333333333,lumpy,10
95.66666666666667,69.46666666666667,lumpy,10
95.13333333333334,67.26666666666667,lumpy,10
94.8,67.46666666666667,lumpy,10
96.2,68.86666666666666,lumpy,10
95.93333333333334,67.86666666666666,lumpy,10
95.2,68.66666666666667,lumpy,10
95.66666666666667,68.6,lumpy,10
96.13333333333334,68.2,lumpy,10
96.6,69.46666666666667,lumpy,10
96.46666666666667,67.8,lumpy,10
96.26666666666667,68.53333333333333,lumpy,10
95.46666666666667,69.66666666666667,lumpy,10
96.33333333333333,69.53333333333333,lumpy,10
96.8,69.73333333333333,lumpy,10
96.73333333333333,70.4,lumpy,10
96.8,68.66666666666667,lumpy,10
96.93333333333334,69.33333333333333,lumpy,10
96.8,70.86666666666666,lumpy,10
97.4,69.26666666666667,lumpy,10
96.86666666666666,69.46666666666667,lumpy,10
97.26666666666667,69.6,lumpy,10
97.93333333333334,70.46666666666667,lumpy,10
96.86666666666666,70.2,lumpy,10
