train_acc,test_acc,dataset,seed
26.333333333333332,16.666666666666668,non-lumpy,20
40.266666666666666,17.533333333333335,non-lumpy,20
46.13333333333333,29.333333333333332,non-lumpy,20
49.666666666666664,37.53333333333333,non-lumpy,20
53.733333333333334,38.266666666666666,non-lumpy,20
55.4,37.666666666666664,non-lumpy,20
59.6,37.6,non-lumpy,20
60.13333333333333,41.733333333333334,non-lumpy,20
61.46666666666667,33.86666666666667,non-lumpy,20
61.733333333333334,44.06666666666667,non-lumpy,20
64.2,43.733333333333334,non-lumpy,20
65.26666666666667,44.6,non-lumpy,20
66.13333333333334,46.2,non-lumpy,20
68.86666666666666,48.266666666666666,non-lumpy,20
66.26666666666667,49.06666666666667,non-lumpy,20
69.6,47.8,non-lumpy,20
70.0,48.2,non-lumpy,20
72.8,49.333333333333336,non-lumpy,20
71.93333333333334,51.733333333333334,non-lumpy,20
74.06666666666666,52.13333333333333,non-lumpy,20
73.93333333333334,45.666666666666664,non-lumpy,20
74.4,50.13333333333333,non-lumpy,20
74.66666666666667,53.666666666666664,non-lumpy,20
76.53333333333333,51.86666666666667,non-lumpy,20
77.73333333333333,48.93333333333333,non-lumpy,20
77.4,51.93333333333333,non-lumpy,20
77.4,53.86666666666667,non-lumpy,20
80.0,55.13333333333333,non-lumpy,20
80.2,53.93333333333333,non-lumpy,20
80.8,53.266666666666666,non-lumpy,20
82.0,54.86666666666667,non-lumpy,20
81.8,56.4,non-lumpy,20
82.0,55.333333333333336,non-lumpy,20
83.6,55.4,non-lumpy,20
83.2,57.93333333333333,non-lumpy,20
82.26666666666667,55.86666666666667,non-lumpy,20
83.06666666666666,56.0,non-lumpy,20
85.06666666666666,59.333333333333336,non-lumpy,20
85.53333333333333,57.06666666666667,non-lumpy,20
86.33333333333333,58.53333333333333,non-lumpy,20
84.46666666666667,55.93333333333333,non-lumpy,20
85.26666666666667,56.53333333333333,non-lumpy,20
85.53333333333333,58.53333333333333,non-lumpy,20
84.46666666666667,58.6,non-lumpy,20
87.6,59.13333333333333,non-lumpy,20
88.0,58.2,non-lumpy,20
88.2,57.06666666666667,non-lumpy,20
88.53333333333333,59.333333333333336,non-lumpy,20
89.33333333333333,61.8,non-lumpy,20
87.53333333333333,58.666666666666664,non-lumpy,20
88.73333333333333,59.86666666666667,non-lumpy,20
89.4,59.733333333333334,non-lumpy,20
89.4,59.2,non-lumpy,20
89.26666666666667,57.86666666666667,non-lumpy,20
89.13333333333334,60.93333333333333,non-lumpy,20
87.93333333333334,59.53333333333333,non-lumpy,20
90.46666666666667,61.733333333333334,non-lumpy,20
91.66666666666667,62.733333333333334,non-lumpy,20
91.53333333333333,61.4,non-lumpy,20
91.33333333333333,59.86666666666667,non-lumpy,20
91.73333333333333,61.266666666666666,non-lumpy,20
91.46666666666667,61.666666666666664,non-lumpy,20
93.0,60.8,non-lumpy,20
92.2,61.86666666666667,non-lumpy,20
92.46666666666667,62.733333333333334,non-lumpy,20
93.06666666666666,61.06666666666667,non-lumpy,20
93.6,63.86666666666667,non-lumpy,20
94.2,61.6,non-lumpy,20
93.4,61.666666666666664,non-lumpy,20
94.13333333333334,62.4,non-lumpy,20
93.6,63.46666666666667,non-lumpy,20
94.2,62.46666666666667,non-lumpy,20
93.8,62.0,non-lumpy,20
94.93333333333334,63.333333333333336,non-lumpy,20
94.33333333333333,62.2,non-lumpy,20
94.8,62.6,non-lumpy,20
94.8,62.733333333333334,non-lumpy,20
94.0,62.6,non-lumpy,20
95.06666666666666,63.06666666666667,non-lumpy,20
95.4,63.4,non-lumpy,20
94.73333333333333,65.26666666666667,non-lumpy,20
94.6,63.93333333333333,non-lumpy,20
95.53333333333333,64.46666666666667,non-lumpy,20
96.0,63.2,non-lumpy,20
96.13333333333334,64.46666666666667,non-lumpy,20
96.66666666666667,63.733333333333334,non-lumpy,20
95.26666666666667,63.53333333333333,non-lumpy,20
94.4,64.26666666666667,non-lumpy,20
95.06666666666666,62.93333333333333,non-lumpy,20
95.2,65.66666666666667,non-lumpy,20
96.73333333333333,66.06666666666666,non-lumpy,20
95.86666666666666,64.93333333333334,non-lumpy,20
95.06666666666666,65.4,non-lumpy,20
96.0,64.93333333333334,non-lumpy,20
95.8,65.46666666666667,non-lumpy,20
96.0,64.66666666666667,non-lumpy,20
96.26666666666667,64.2,non-lumpy,20
96.2,66.26666666666667,non-lumpy,20
97.4,66.0,non-lumpy,20
97.26666666666667,67.13333333333334,non-lumpy,20
96.53333333333333,65.26666666666667,non-lumpy,20
