avg_degree,proportion_connected_nodes,avg_connectivity,dataset_agg,category
7.28,0.86,4.465768311236688,nonLumpy,javasparrow
12.456,0.92,7.359982997797442,lumpy,javasparrow
12.456,0.676,8.807220604016555,nonLumpy,cat
7.712,0.708,5.216679506933744,lumpy,cat
12.456,0.752,7.817377360731679,nonLumpy,pig
9.88,0.716,6.586972969255107,lumpy,pig
12.456,0.764,8.041774593551942,nonLumpy,chimp
7.736,0.732,4.637301423560966,lumpy,chimp
5.808,0.668,3.720560393790231,nonLumpy,dog
12.456,0.76,7.53196504541796,lumpy,dog
12.456,0.732,7.39206624301945,nonLumpy,ferret
7.864,0.62,5.157436112274822,lumpy,ferret
