avg_degree,proportion_connected_nodes,avg_connectivity,dataset_agg,category
10.048,0.776,6.0225991982803695,nonLumpy,javasparrow
12.456,0.788,7.286092131364338,lumpy,javasparrow
11.664,0.732,6.0872260757473455,nonLumpy,cat
12.456,0.724,7.560507438894793,lumpy,cat
12.456,0.756,7.346989560572955,nonLumpy,pig
11.384,0.776,8.506674757281553,lumpy,pig
8.768,0.772,4.848145673237554,nonLumpy,chimp
12.456,0.768,6.163479809976247,lumpy,chimp
12.456,0.736,6.4204319761668325,nonLumpy,dog
11.24,0.76,6.824904715854144,lumpy,dog
12.456,0.828,6.609314801267983,nonLumpy,ferret
12.224,0.872,7.285965703971119,lumpy,ferret
