avg_degree,proportion_connected_nodes,avg_connectivity,dataset_agg,category
12.456,0.884,7.080723611229627,nonLumpy,javasparrow
11.88,0.888,6.585398595621644,lumpy,javasparrow
8.92,0.84,5.468153620305914,nonLumpy,cat
12.456,0.852,7.290126556850141,lumpy,cat
9.32,0.86,5.969093675287981,nonLumpy,pig
12.456,0.872,7.21697347049269,lumpy,pig
9.312,0.72,6.747251217814892,nonLumpy,chimp
12.456,0.84,7.773992127053074,lumpy,chimp
12.456,0.844,6.919851803217183,nonLumpy,dog
8.04,0.832,4.638923469085304,lumpy,dog
12.456,0.824,8.3932523028288,nonLumpy,ferret
10.808,0.804,7.76636008034676,lumpy,ferret
